Nombre,Descripcion_del_producto,Precio,off_product_name,off_barcode,off_brands,off_quantity,nutriscore_grade,ecoscore_grade,nova_group,ingredients_text,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,processed_at,Cantidad_real,Unidad_medida
Champiñon grande,Bandeja 430 g aprox.,2.45,Champiñon grande,2369672002063,,,unknown,unknown,,,,,,,,,,,,2025-05-13T12:21:16.021491,430.0,g
Mix de setas suave,Bandeja 260 g aprox.,3.97,Mix de setas suave,2369876003408,Olmo Mazcuñán,,unknown,unknown,,,15.0,,,,,2.0,,,,2025-05-13T12:20:59.436899,260.0,g
Filete de lubina,Bandeja 200 g aprox.,4.6,Filetes de lubina,2381487007026,Hacendado,,unknown,unknown,,,,,,,,,,,,2025-05-13T20:46:37.157214,200.0,g
Pan moño,1 ud. (500 g),1.45,Pan moño,2383412001352,,,unknown,unknown,,,,,,,,,,,,2025-05-13T21:06:10.619676,500.0,g
Repollo rizado,"Pieza 1,04 kg aprox.",1.88,Repollo rizado,2402877005702,,,unknown,unknown,,,,,,,,,,,,2025-05-14T02:07:15.828847,4000.0,g
Ensalada mezcla 4 estaciones,Paquete 250 g,0.86,Ensalada 4 estaciones,24044103,El Mercado de Aldi,,unknown,not-applicable,,,,,,,,,,,,2025-05-13T12:33:23.587450,250.0,g
Arreglo para cocido,Bandeja 950 g aprox.,6.55,Arreglo para cocido,24098182,Las Virtudes,,a,not-applicable,1.0,"_Apio_, puerro, nabo, zanahoria.",,,,,,,,,,2025-05-14T01:12:26.326199,950.0,g
Chuletas lomo de cerdo,Bandeja 480 g aprox.,3.1,CHULETAS de LOMO DE CERDO,2903605002074,carrefour,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:20:53.788365,480.0,g
Platano de Canarias IGP,Pieza 150 g aprox.,0.53,Plátano de Canarias,2949246002110,CMR,"1,280 Kg",a,a,1.0,Plátanos,,,,,,,,,,2025-05-13T12:36:02.437669,150.0,g
Conejo entero,"Pieza 1,3 kg aprox.",10.73,Conejo entero,2958384007130,Carrefour,"1,521 kg",unknown,unknown,,,,,,,,,,,,2025-05-14T01:19:12.761280,3000.0,g
Magret de pato,Pieza 380 g aprox.,9.12,Magret fresco de pato,2965528006959,Carrefour,360g,unknown,e,,Magret de pato. Producto fresco. Categoría A..,,,,,,,,,,2025-05-14T01:17:49.126181,380.0,g
Jamoncitos de pollo,Bandeja 920 g aprox.,3.5,Jamoncitos de pollo,2966863003771,Carrefour,"0,840g",unknown,e,,Jamoncitos de pollo,,,,,,,,,,2025-05-14T01:11:39.030071,920.0,g
Mini taquitos de jamon Incarlopsa,2 paquetes x 90 g,2.55,Mini taquitos jamón,3497384016210,Incarlopsa,2 x 90 g,unknown,f,,,,,,,,,,,,2025-05-14T01:42:07.438271,90.0,g
Bolsa isotérmica,1 ud.,1.9,Borraccia isotermica,3616475178174,,,unknown,unknown,,,88.0,8.0,6.0,5.0,3.0,9.0,6.0,,,2025-05-13T19:23:51.729691,,
Cerveza Pils Krombacher,6 latas x 330 ml,3.9,Pils,4008287050530,Krombacher,,not-applicable,d,3.0,"agua, malta de cebada, lúpulo, extracto de lúpulo",,,,,,,,,,2025-05-14T00:11:14.051511,6000.0,ml
Cerveza Pils Krombacher,Lata 330 ml,0.65,Pils,4008287050530,Krombacher,,not-applicable,d,3.0,"agua, malta de cebada, lúpulo, extracto de lúpulo",,,,,,,,,,2025-05-14T00:18:58.607593,330.0,ml
Cerveza de trigo Paulaner,Botell√≠n 330 ml,1.29,Weißbier Dunkel,4066600941972,Paulaner,500 ml,not-applicable,c,3.0,"Agua, malta de trigo, malta de cebada, levadura, lúpulo.",41.0,,,2.9,,,0.6,,,2025-05-14T00:09:14.972697,330.0,ml
Cerveza Ley de Pureza,6 latas x 330 ml,1.8,Spaten München,4072700001171,Spaten München,50 cl,not-applicable,unknown,3.0,"Agua, malta de cebada, lúpulo y extracto de lúpulo.",,,,,,,,,,2025-05-14T00:16:03.446455,6000.0,ml
Arreglo de marisco pelado,Bandeja 450 g aprox.,8.5,Arreglo de marisco pelado,4335619074415,Lidl,,unknown,unknown,,,55.0,0.5,0.100000001490116,0.5,0.5,,13.6999998092651,,,2025-05-13T20:34:44.910866,450.0,g
Bebida Florida Hacendado,Brick 2 L,1.25,Florida,4480206391878,Hacendado,,unknown,d,,,,,,,,,,,,2025-05-13T22:27:49.090035,2000.0,ml
Whisky escocés Black Label Johnnie Walker,Botella 700 ml,,Black label,5000267024202,Johnnie Walker,700ml,not-applicable,c,,,222.0,,,,,,,,,2025-05-14T00:08:00.296768,700.0,ml
Jamon serrano Incarlopsa lonchas extrafinas,Paquete 120 g,2.35,Jamon serrano. Lonchas extrafinas,5420076012014,incarlopsa,120 g,unknown,f,,,,,,,,,,,,2025-05-14T01:41:22.633285,120.0,g
Refresco Fanta limon,Botella 2 L,1.85,REFRESCO LIMON GO FANTA PACK,5449000059413,Fanta,2Ltr,unknown,unknown,,,,,,,,,,,,2025-05-13T22:30:56.290571,2000.0,ml
Refresco Fanta limon,9 latas x 330 ml,6.93,REFRESCO LIMON GO FANTA PACK,5449000059413,Fanta,2Ltr,unknown,unknown,,,,,,,,,,,,2025-05-13T22:31:34.583222,9000.0,ml
Refresco Fanta limon,Lata 330 ml,0.8,REFRESCO LIMON GO FANTA PACK,5449000059413,Fanta,2Ltr,unknown,unknown,,,,,,,,,,,,2025-05-13T22:31:53.751599,330.0,ml
Ginebra Dry Gin Seagram's,Botella 700 ml,16.25,Dry Gin,5900685007910,Seagram's,700 ml,not-applicable,d,3.0,"Ginebra,",,,,,,,,,,2025-05-14T00:05:32.321821,700.0,ml
Ron dominicano añejo Ron Barcelo,Botella 700 ml,15.15,Ron dominicano añejo,7461323129237,Barceló,700ml,not-applicable,d,,,,,,,,,,,,2025-05-14T00:05:38.893558,700.0,ml
Tocino de cerdo,Paquete 190 g aprox.,1.14,Tocino ahumado,7501040005428,Fud,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:14:09.329073,190.0,g
Refresco Coca-Cola light,9 latas x 330 ml,7.47,Coca-Cola light,7501055305346,Coca-Cola,1 l.,unknown,unknown,,,,,,,,,,,,2025-05-13T23:11:11.173974,9000.0,ml
Refresco Coca-Cola light,Lata 330 ml,0.92,Coca-Cola light,7501055305346,Coca-Cola,1 l.,unknown,unknown,,,,,,,,,,,,2025-05-13T23:12:59.472000,330.0,ml
Cerveza Corona,6 botellines x 355 ml,7.92,Corona Extra,75041670,Corona,330 ml,not-applicable,c,4.0,"Agua, Malta de Cebada, Cereales no Malteados (Maíz, Arroz), Lúpulo, Estabilizante (INS 405), Antioxidante (INS 300).",42.0,,,4.0,3.3,,3.96,,,2025-05-14T00:07:26.971781,355.0,ml
Vermouth rojo Martini,Botella 1 L,11.9,Vermut rojo,7630040400985,Martini,,not-applicable,e,,,,,,,,,,,,2025-05-13T22:35:18.215262,1000.0,ml
Licor dulce Amaretto Del Patriarca,Botella 700 ml,4.9,Amaretto,8005130001530,Del Patriarca,700 ml,not-applicable,d,4.0,"Agua, azúcar, alcohol, aromas, colorante (E150a).",,,0.0,,,,,,,2025-05-14T00:00:00.222392,700.0,ml
Spaghetti Armando,Paquete 500 g,1.4,Lo Spaghettone,8005709204188,Armando,500 g,unknown,unknown,,,354.0,1.3,0.3,70.3,3.2,2.7,14.0,,,2025-05-13T23:34:24.244105,500.0,g
Cous cous mediano Bia,Caja 1 kg,1.93,Cous cous,8011033012108,Bia,1pcs,unknown,b,1.0,"durum wheat semolina, water,",346.0,1.6,0.4,69.0,2.5,3.9,12.0,,,2025-05-13T23:37:34.804568,1000.0,g
Callos a la madrileña Hacendado,Lata 380 g,2.45,Callos a la Madrileña,8402001011474,Hacendado,,unknown,unknown,,,138.0,8.2,3.2,1.7,0.5,,14.4,,,2025-05-13T21:28:19.927632,380.0,g
Pizza mediterranea Hacendado,430 g,2.9,Pizza mediterránea,8402001014451,Hacendado,,unknown,unknown,,,234.0,7.90000009536743,4.19999980926514,27.7000007629395,4.30000019073486,,13.0,,,2025-05-13T21:26:32.161322,430.0,g
Almendra palitos Hacendado,Paquete 100 g,1.85,Almendra palitos,8402001017674,Hacendado,100 g,unknown,unknown,,,,,,,,,,,,2025-05-13T21:14:10.938196,100.0,g
Wok de pollo adobado y verduras,Bandeja 460 g aprox.,3.36,Wok de pollo adobado y verduras,8402001024245,Hacendado,,unknown,e,,,94.0,4.7,,0.8,,,12.9,,,2025-05-14T01:17:14.530618,460.0,g
Bebida espirituosa centenario Terry,Botella 1 L,9.5,Terry centenario,8410162011127,"Bodegas Fundador, Terry",1 L,not-applicable,d,,"1 Y ENTENARIO EBIDA ESPIRITuoSA destilado de alta Adad, envejeit oional sistema de iaderas oleras en botas n hielo o en cor ación alquuer ocasión. Centenarno es niano previamente enVina onna y sabor característice de roble Vino de Jerez, ofreciendo te oara poder ser consunitn y. E(100ml); VITakca Ds 1/410 20 1 hcdayea RE C202 CA tegas Fandado, SL eoess, 3 A3 Jerea t a fatn bg",175.0,,,,,,,,,2025-05-14T00:05:45.114979,1000.0,ml
Vino tinto Don Simon,Brick 1 L,1.6,Tinto de verano sabor limón,8410261152011,Don Simón,1.5 l,not-applicable,unknown,4.0,"vino tinto, zumo de uva, agua carbonatadas, ácido cítrico, edulcorantes y aromas",,,,,,,,,,2025-05-14T00:51:51.945624,1000.0,ml
Vino blanco Don Simon chardonnay airén,3 mini bricks x 250 ml,1.6,Vino blanco chardonnay airén,8410261206189,Don Simón,250 ml (3 X 250ml),not-applicable,e,,,,,,,,,,,,2025-05-14T00:30:35.083009,750.0,ml
Mandarina,Pieza 130 g aprox.,0.31,Live Rostoy,8410261782034,,,not-applicable,d,4.0,"agua, zumo de frutas a base de concentrado, azúcar, acidulante E330, aceite vegetal, colorante E160e, E160a, vitaminas C, E, B6, A (beta-caroteno)",20.0,0.1,0.0,4.8,4.8,,0.0,,,2025-05-13T12:36:15.655526,130.0,g
Vino tinto tempranillo Elegido,Botella 1 L,2.2,Tempranillo,8410302102432,Elegido,1 l,not-applicable,d,,,,,,,,,,,,2025-05-14T00:52:24.816951,1000.0,ml
Vino blanco suave y afrutado El Pescaito,Botella 750 ml,2.15,El pescaito,8410310615795,Vicente Gandía,750 ml,not-applicable,d,,,,,,,,,,,,2025-05-14T00:30:53.200232,750.0,ml
Esparrago verde grueso,Paquete 300 g,3.6,Esparragos verdes gruesos,8410405000376,Cesurca,350 g,unknown,not-applicable,,Espárragos verdes gruesos.,,,,,,,,,,2025-05-13T20:22:29.198738,300.0,g
Whisky escocés James Webb,Botella 700 ml,6.15,Blended scotch whisky,8410490267227,James Webb,700ml,not-applicable,c,,,,,,,,,,,,2025-05-14T00:04:36.759480,700.0,ml
Bebida lactea natural Actimel,12 mini botellas x 100 g,4.95,natural original,8410500012861,"Actimel, Danone",1188 ml (12 x 99 ml),unknown,e,4.0,"_Leche_ desnatada rehidratada, _leche_ desnatada, glucosa, estabilizante (pectina), edulcorantes (acesulfamo-K y sucralosa), fermentos lácticos (fermentos de yogur y Lactobacillus casei), aromas, vitaminas (D y B9) y sales minerales (hierro y zinc).",31.0,0.4,0.2,4.0,4.0,,2.8,,,2025-05-13T22:18:28.164952,100.0,g
Foie gras de pato fresco,Paquete 135 g,9.45,Foie Gras Fresco de Pato,8410652110385,,,unknown,f,,,,,,,,,,,,2025-05-14T01:17:55.608983,135.0,g
Cerveza especial San Miguel,12 latas x 330 ml,6.0,Cerveza Especial San Miguel,8410655000010,San Miguel,33 cl.,not-applicable,c,,"water, malt (barley), maize, hops",49.0,0.0,,4.0,,,,,,2025-05-13T19:12:15.226689,12000.0,ml
Cerveza especial San Miguel,Lata 330 ml,0.74,Cerveza Especial San Miguel,8410655000010,San Miguel,33 cl.,not-applicable,c,,"water, malt (barley), maize, hops",49.0,0.0,,4.0,,,,,,2025-05-14T00:25:50.267280,330.0,ml
Cerveza doble malta Voll-Damm,Lata 330 ml,1.02,Cerveza Vall-Damm Doble Malta,8410793036131,Voll-Damm,33 cl.,not-applicable,d,3.0,"Agua, malta de cebada 18%, arroz, maíz, lúpulo",66.0,,,,,,,,,2025-05-14T00:09:57.839160,330.0,ml
Cerveza doble malta Voll-Damm,6 latas x 330 ml,6.12,Cerveza Vall-Damm Doble Malta,8410793036131,Voll-Damm,33 cl.,not-applicable,d,3.0,"Agua, malta de cebada 18%, arroz, maíz, lúpulo",66.0,,,,,,,,,2025-05-14T00:07:19.766268,6000.0,ml
Whisky DYC,Botella 700 ml,10.45,Whisky 8 años,8410854012319,DYC,,unknown,unknown,,,,,0.0,,0.0,,,,,2025-05-14T00:06:33.188932,700.0,ml
Ginebra London Dry Gin Larios,Botella 1 L,12.45,London Dry Gin,8411144100082,Larios,1 l,not-applicable,d,3.0,Ginebra.,208.0,,,,,,,,,2025-05-13T20:12:23.203027,1000.0,ml
Cerveza sin gluten Mahou,6 botellines x 330 ml,7.14,Mahou Cerveza Cinco Estrellas Sin Gluten,8411327001885,Mahou,33 cl,not-applicable,d,3.0,"Agua, _malta de cebada_, maíz, lúpulo",49.0,,,,,,,,,2025-05-14T00:19:23.292577,330.0,ml
Cerveza clasica Mahou,12 botellines x 250 ml,6.0,Cerveza Mahou Clásica,8411327022019,Mahou,33 cl.l,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",42.0,,,,,,,,,2025-05-13T23:57:00.967673,250.0,ml
Cerveza clasica Mahou,6 botellas x 1 L,10.92,Cerveza Mahou Clásica,8411327022019,Mahou,33 cl.l,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",42.0,,,,,,,,,2025-05-13T23:59:09.384852,1000.0,ml
Cerveza clasica Mahou,12 latas x 330 ml,6.84,Cerveza Mahou Clásica,8411327022019,Mahou,33 cl.l,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",42.0,,,,,,,,,2025-05-13T23:56:17.589694,12000.0,ml
Cerveza clasica Mahou,Lata 330 ml,0.77,Cerveza Mahou Clásica,8411327022019,Mahou,33 cl.l,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",42.0,,,,,,,,,2025-05-13T23:56:54.822108,330.0,ml
Cerveza clasica Mahou,Botella 1 L,1.82,Cerveza Mahou Clásica,8411327022019,Mahou,33 cl.l,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",42.0,,,,,,,,,2025-05-13T23:58:00.360831,1000.0,ml
Cerveza clasica Mahou,Botell√≠n 250 ml,0.59,Cerveza Mahou Clásica,8411327022019,Mahou,33 cl.l,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",42.0,,,,,,,,,2025-05-14T00:16:23.472694,250.0,ml
Cerveza especial Mahou,Botell√≠n 250 ml,0.69,Cinco estrellas,8411327131018,Mahou,250ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",49.0,,,,,,,,,2025-05-14T00:14:59.857046,250.0,ml
Cerveza especial Mahou,Lata 330 ml,0.85,Cinco estrellas,8411327131018,Mahou,250ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",49.0,,,,,,,,,2025-05-13T23:57:38.872295,330.0,ml
Cerveza especial Mahou,10 latas x 330 ml,8.3,Cinco estrellas,8411327131018,Mahou,250ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",49.0,,,,,,,,,2025-05-13T23:56:23.886016,10000.0,ml
Cerveza especial Mahou,12 botellines x 250 ml,7.68,Cinco estrellas,8411327131018,Mahou,250ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo.",49.0,,,,,,,,,2025-05-13T23:56:48.671920,250.0,ml
Tomates negros,1 kg aprox.,2.6,Tomete cherry pera negro,8412276563882,,300 g,unknown,a,,,,,,,,,,,,2025-05-13T11:54:11.943668,1000.0,g
Tomate negro,Pieza 150 g aprox.,0.41,Tomete cherry pera negro,8412276563882,,300 g,unknown,a,,,,,,,,,,,,2025-05-13T11:57:53.630293,150.0,g
Vino rosado Dominio de Borgia,Garrafa 2 L,2.55,Vino rosado,8412423110037,Dominio de Borgia,5 l,not-applicable,e,,,,,,,,,,,,2025-05-14T00:46:00.642984,2000.0,ml
Vino tinto Dominio de Borgia,Botella 2 L,2.7,Vino Tinto Dominio De Borgia,8412423110068,,2 l,not-applicable,e,,,,,,,,,,,,2025-05-14T00:51:40.005679,2000.0,ml
Cerveza extra 1906 reserva especial,Botell√≠n 330 ml,1.24,Reserva Especial,8412598004964,1906,330ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo,",54.0,,,,,,,,,2025-05-14T00:09:51.150763,330.0,ml
Cerveza reserva,Botell√≠n 330 ml,1.22,Reserva Especial,8412598004964,1906,330ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo,",54.0,,,,,,,,,2025-05-14T00:10:26.896893,330.0,ml
Cerveza extra 1906 reserva especial,6 botellines x 330 ml,7.38,Reserva Especial,8412598004964,1906,330ml,not-applicable,d,3.0,"Agua, malta de _cebada_, maíz, lúpulo,",54.0,,,,,,,,,2025-05-13T23:58:50.752023,330.0,ml
Sidra asturiana El Mayu,Botella 750 ml,1.6,Sidra asturiana el mayu,8413481510173,,,not-applicable,d,,,,,,,,,,,,2025-05-14T00:22:59.576370,750.0,ml
Sidra asturiana El Mayu,Botell√≠n 250 ml,0.9,Sidra asturiana el mayu,8413481510173,,,not-applicable,d,,,,,,,,,,,,2025-05-14T00:27:42.924417,250.0,ml
Sidra asturiana El Mayu,12 botellines x 250 ml,10.8,Sidra asturiana el mayu,8413481510173,,,not-applicable,d,,,,,,,,,,,,2025-05-14T00:28:09.756944,250.0,ml
Tonica pink zero Schweppes,Lata 330 ml,0.99,TÓNICA SCHWEPPES PINK ZERO LATA,8414100380139,,,unknown,unknown,,,,,,,,,,,,2025-05-13T23:14:48.322105,330.0,ml
Tonica pink zero Schweppes,8 latas x 330 ml,7.84,TÓNICA SCHWEPPES PINK ZERO LATA,8414100380139,,,unknown,unknown,,,,,,,,,,,,2025-05-13T23:14:23.740398,8000.0,ml
Apio cortado,Bandeja 210 g aprox.,1.05,Apio cortado,8414243060882,,,unknown,unknown,,,,,,,,,,,,2025-05-13T20:20:27.513634,210.0,g
Cerveza reserva 1925 Alhambra,Botell√≠n 330 ml,1.49,Alhambra Reserva 1925,84195326,Alhambra,33 cl,not-applicable,d,3.0,"Malta de Cebada, Maíz, lupulo",56.0,0.0,0.0,4.4,0.3,,0.4,,,2025-05-14T00:07:33.227949,330.0,ml
Cerveza reserva 1925 Alhambra,6 botellines x 330 ml,7.98,Alhambra Reserva 1925,84195326,Alhambra,33 cl,not-applicable,d,3.0,"Malta de Cebada, Maíz, lupulo",56.0,0.0,0.0,4.4,0.3,,0.4,,,2025-05-13T23:57:25.884172,330.0,ml
Flan de huevo sin azucares añadidos Hacendado,4 ud. x 100 g,1.8,Flan de huevo sin azúcares añadidos,8420756002431,Hacendado,4 x 100 g,unknown,b,,,68.0,1.5,0.6,8.0,6.3,,6.1,,,2025-05-13T15:15:13.997425,400.0,g
Rabanitos,Paquete 250 g,1.14,Rabanitos,8424252110027,,250 g,unknown,unknown,,,,,,,,,,,,2025-05-13T20:22:16.109678,250.0,g
Freson,Bandeja 500 g aprox.,2.25,Fresas,8425697002243,Fresón de Palos,500 g,a,not-applicable,1.0,Fresas,,,,,,,,,,2025-05-13T12:35:56.141111,500.0,g
Freson,"Bandeja 1,3 kg aprox.",4.16,Fresas,8425697002243,Fresón de Palos,500 g,a,not-applicable,1.0,Fresas,,,,,,,,,,2025-05-13T12:41:41.508047,3000.0,g
Lechuga hoja roble,Paquete 1 ud.,1.51,Lehuga hoja de roble,8425779007043,Primaflor,1 pieza (+ 200 g),a,a,1.0,Lechuga.,,,,,,,,,,2025-05-13T12:34:44.939105,,
Tomates cherry pera kumato,Bandeja 300 g,1.61,Tomare cherry pera kumato,8427603071503,Full Fresh,250 g,unknown,not-applicable,,Tomates de tipo cherry kumato.,,,,,,,,,,2025-05-13T11:54:32.982834,300.0,g
Cubos de hielo,Paquete 2 kg,0.9,Cubos de hielo reutilizables,8430852251336,Ar Kitchen,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:58:41.656623,2000.0,g
Cubos de hielo,5 paquetes x 2 kg,4.5,Cubos de hielo reutilizables,8430852251336,Ar Kitchen,,unknown,unknown,,,,,,,,,,,,2025-05-14T01:58:47.741281,2000.0,g
Esparrago verde fino,Paquete 250 g,2.05,Espárragos verdes finos,8436004760145,,,unknown,c,,,,,,,,,,,,2025-05-13T20:15:32.953487,250.0,g
Champiñon Portobello,Bandeja 300 g aprox.,2.16,Champiñón Porrobello,8436013830112,Mercajúcar,250 g,unknown,not-applicable,,Champiñones Portobello frescos cultivados en cuartos (Agaricus bisporus var brunnescens).,,,,,,,,,,2025-05-13T12:22:16.401066,300.0,g
Lechugas corazon romana,Paquete 2 ud.,1.65,Corazón Lechuga,8436014350138,Verduras Curro,2,unknown,a,,Corazón de lechuga romana.,,,,,,,,,,2025-05-13T12:33:11.285455,,
Lechuga corazon romana,Paquete 1 ud.,1.1,Corazón Lechuga,8436014350138,Verduras Curro,2,unknown,a,,Corazón de lechuga romana.,,,,,,,,,,2025-05-13T12:34:06.550248,,
Chirla,Malla 500 g,4.35,Chirla,8436025381886,,,unknown,unknown,,,,,,,,,,,,2025-05-13T20:35:09.832850,500.0,g
Apio verde,Paquete 660 g aprox.,1.42,Apio,8436032700274,Vega Tajo,500 g,unknown,not-applicable,,Apio. Variedad: Espartán,,,,,,,,,,2025-05-13T20:18:36.308672,660.0,g
Aceitunas negras de Aragon Campo Nature,Tarro 200 g,2.5,Aceituna de Aragón negra natural,8436530670109,Campo Nature,200 g,unknown,a-plus,3.0,"Aceituna negra natural de Aragón con hueso*, sal y aceite de oliva virgen extra*. *Ecológicos. Producto pasteurizado. Peso neto 200 g",365.0,37.2000007629395,6.5,8.89999961853027,0.5,4.0,1.60000002384186,,,2025-05-13T23:29:49.980993,200.0,g
Albondigas de vacuno,Bandeja 420 g,5.5,Albóndigas de vacuno,8436546509899,Meat Beef,600 g,unknown,unknown,,,,,,,,,,,,2025-05-14T01:27:15.146276,420.0,g
Tomate canario,Pieza 190 g aprox.,0.36,Tomate canario,8437002958985,Agrimur,2000 g,unknown,a,,,,,,,,,,,,2025-05-13T11:57:21.448901,190.0,g
Huevos medianos M,Paquete 12 ud.,2.6,Huevos medianos,8437004036544,monterde,,unknown,d,,,,,,,,,,,,2025-05-13T15:06:09.862740,,
Preparado de verdura para cocido,Bandeja 900 g aprox.,1.86,Preparado de cocido,8437007831023,Frutas y Verduras Marcos,Variable,unknown,not-applicable,1.0,"En proporción variable: repollo, zanahoria, nabo, puerro, _apio_.",,,,,,,,,,2025-05-13T20:21:51.310801,900.0,g
Uva blanca sin semillas,Bandeja 500 g aprox.,2.55,Raisin Blanc Sans Pépins,8437009632222,Moyca,500g,a,a-plus,1.0,Raisin Blanc Sans Pépin.,,,,,,,,,,2025-05-13T12:36:09.256459,500.0,g
Lechuga Iceberg,Pieza 1 ud.,1.03,Iceberg,8437013139342,Hacendado,,unknown,not-applicable,1.0,Iceberg.,16.0,0.6,,1.5,,,0.7,,,2025-05-13T12:32:13.562546,,
Lechuga iceberg,Paquete 250 g,0.9,Iceberg,8437013139342,Hacendado,,unknown,not-applicable,1.0,Iceberg.,16.0,0.6,,1.5,,,0.7,,,2025-05-13T12:32:44.419591,250.0,g
Almeja japonesa,Malla 500 g,11.05,Almeja japonesa gallega,8437015520100,,,unknown,unknown,,,,,,,,,,,,2025-05-13T20:39:01.181455,500.0,g
